URLs,Link,Type,Seconds,Location,Google Map,Date,Description
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619588.mov,View Now,video/quicktime,44.713333,+36.6208-121.9364+024.138/,Google Map,2018-09-02T16:14:33.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619604.m4a,View Now,audio/mp4,790.464,,,2018-10-07T13:34:39.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619578.mov,View Now,video/quicktime,40.5,,,2018-06-13T16:40:17.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620904.mp4,View Now,video/mp4,275.005417,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619633.mov,View Now,video/quicktime,46.476667,,,2019-01-01T13:49:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619632.mov,View Now,video/quicktime,38.333333,,,2018-12-31T15:28:22.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619589.mov,View Now,video/quicktime,48.183333,,,2018-09-04T09:09:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619634.mov,View Now,video/quicktime,31.295,,,2019-01-03T18:43:29.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619626.mov,View Now,video/quicktime,45.001678,,,2018-12-20T15:04:09.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619625.mov,View Now,video/quicktime,45.141678,,,2018-12-20T11:18:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618606.mov,View Now,video/quicktime,166.566667,,,2015-03-11T17:37:53.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619624.mov,View Now,video/quicktime,137.161667,,,2018-12-20T11:18:30.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621009.mp4,View Now,video/mp4,12.437333,,,2017-09-22T19:57:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621010.mp4,View Now,video/mp4,11.413333,,,2017-09-22T18:51:29.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621016.mov,View Now,video/quicktime,3.4,,,2016-09-27T08:33:00.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621014.mov,View Now,video/quicktime,3.401667,,,2016-11-22T15:07:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620591.mov,View Now,video/quicktime,17.266667,,,2017-10-01T15:40:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621018.mov,View Now,video/quicktime,2.333333,+36.4972-121.7527+071.077/,Google Map,2018-02-08T00:00:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621011.mp4,View Now,video/mp4,19.922721,,,2019-06-28T15:35:03.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621013.mov,View Now,video/quicktime,2.535,,,2016-11-22T15:07:33.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621015.mov,View Now,video/quicktime,2.893333,,,2018-08-27T12:58:53.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621019.mov,View Now,video/quicktime,17.266667,,,2017-10-01T15:40:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621007.mov,View Now,video/quicktime,1514.841769,,,2013-01-26T20:31:16.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621020.mov,View Now,video/quicktime,3.036667,,,2017-10-01T15:40:30.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621012.mov,View Now,video/quicktime,3,,,2019-04-28T23:53:16.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621017.mov,View Now,video/quicktime,69.098345,,,2017-07-05T19:18:08.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621021.mov,View Now,video/quicktime,3.003333,,,2017-10-01T15:40:13.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621022.mov,View Now,video/quicktime,2.701667,,,2017-10-01T15:35:28.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621023.mov,View Now,video/quicktime,3.036667,,,2017-10-01T15:29:58.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621026.mov,View Now,video/quicktime,3.071667,,,2017-10-01T20:28:35.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621024.mov,View Now,video/quicktime,2.401667,,,2017-10-01T15:24:56.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621025.mov,View Now,video/quicktime,2.27,,,2017-10-01T15:19:26.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621029.mov,View Now,video/quicktime,2.608333,,,2018-03-06T16:37:34.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621027.mov,View Now,video/quicktime,2.97,,,2017-10-01T16:49:58.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621031.mov,View Now,video/quicktime,2.2,,,2018-03-08T12:04:17.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621028.mov,View Now,video/quicktime,2.5,,,2018-01-29T18:12:42.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621030.mov,View Now,video/quicktime,2.433333,,,2018-03-07T20:35:07.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600798.mp4,View Now,video/mp4,636.235604,,,2018-02-03T12:25:52.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621036.mov,View Now,video/quicktime,2.666667,,,2018-10-18T18:37:43.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621033.mov,View Now,video/quicktime,2.135,+10.7560+103.2621+005.680/,Google Map,2016-12-25T01:16:59.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621037.mov,View Now,video/quicktime,1.933333,,,2018-10-18T18:35:57.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621032.mov,View Now,video/quicktime,34.891667,,,2017-09-08T16:47:43.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600824.mov,View Now,video/quicktime,7066.375,,,2019-04-30T12:29:50.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621034.mov,View Now,video/quicktime,2.366667,+20.3798-087.3403+013.445/,Google Map,2018-12-30T22:41:12.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621041.mov,View Now,video/quicktime,1.933333,,,2016-06-25T10:35:14.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621043.mov,View Now,video/quicktime,1.833333,,,2018-12-14T04:05:27.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621038.mov,View Now,video/quicktime,2.601678,,,2017-10-25T14:18:36.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621035.mov,View Now,video/quicktime,1.933333,,,2018-09-23T17:06:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621040.mov,View Now,video/quicktime,2.531678,,,2016-06-25T09:11:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621039.mov,View Now,video/quicktime,2.665011,,,2016-06-22T10:24:26.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621046.mov,View Now,video/quicktime,2.936667,,,2019-03-29T17:31:02.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621050.mov,View Now,video/quicktime,1.735,,,2019-04-13T14:28:53.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621042.mov,View Now,video/quicktime,1.566667,,,2018-12-14T04:06:16.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621051.mov,View Now,video/quicktime,1.801667,,,2019-04-13T14:28:56.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621048.mov,View Now,video/quicktime,3.353333,,,2019-03-29T17:31:10.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621055.mov,View Now,video/quicktime,1.45,,,2019-04-28T13:19:39.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621056.mov,View Now,video/quicktime,0.816667,,,2019-04-28T13:19:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621049.mov,View Now,video/quicktime,2.651678,,,2019-03-29T17:31:10.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621054.mov,View Now,video/quicktime,2.166667,,,2019-04-28T13:19:38.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621053.mov,View Now,video/quicktime,1.783333,,,2019-04-28T13:19:38.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621057.mov,View Now,video/quicktime,1.985011,,,2019-04-30T17:03:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621047.mov,View Now,video/quicktime,3.301678,,,2019-03-29T17:31:07.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621045.mov,View Now,video/quicktime,80.583333,,,2015-11-15T19:34:38.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621059.mov,View Now,video/quicktime,0.833333,,,2019-04-30T17:04:00.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621060.mov,View Now,video/quicktime,2.035011,,,2019-04-30T17:04:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621058.mov,View Now,video/quicktime,3.018345,,,2019-04-30T17:03:58.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621066.mov,View Now,video/quicktime,0.666667,,,2019-05-03T20:01:24.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621061.mov,View Now,video/quicktime,1.061667,,,2019-04-30T17:04:19.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621067.mov,View Now,video/quicktime,1.268333,,,2019-05-03T20:01:31.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621062.mov,View Now,video/quicktime,1.525,,,2019-04-30T17:04:47.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621063.mov,View Now,video/quicktime,1.801678,,,2019-05-02T16:54:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621065.mov,View Now,video/quicktime,0.8,,,2019-05-03T20:01:21.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621069.mov,View Now,video/quicktime,1.693333,,,2019-05-04T09:37:41.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621068.mov,View Now,video/quicktime,2.068345,,,2019-05-03T20:01:54.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621064.mov,View Now,video/quicktime,3.27,,,2019-05-02T16:54:51.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621071.mov,View Now,video/quicktime,1.416667,,,2019-05-04T09:38:18.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621070.mov,View Now,video/quicktime,2.26,,,2019-05-04T09:37:44.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621075.mov,View Now,video/quicktime,3.051678,,,2019-05-04T09:39:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621072.mov,View Now,video/quicktime,2.985011,,,2019-05-04T09:38:26.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621008.mov,View Now,video/quicktime,12416.797052,,,2013-02-16T01:19:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621076.mov,View Now,video/quicktime,2.985011,,,2019-05-04T09:39:12.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621077.mov,View Now,video/quicktime,2.133333,,,2019-05-04T09:39:12.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621084.mov,View Now,video/quicktime,2.001678,,,2019-05-25T18:00:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621074.mov,View Now,video/quicktime,2.018333,,,2019-05-04T09:38:29.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621073.mov,View Now,video/quicktime,3.018345,,,2019-05-04T09:38:26.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621080.mov,View Now,video/quicktime,1.968345,,,2019-05-04T17:15:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621079.mov,View Now,video/quicktime,2.801678,,,2019-05-04T17:14:58.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621078.mov,View Now,video/quicktime,2.268345,,,2019-05-04T17:14:56.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621081.mov,View Now,video/quicktime,2.385011,,,2019-05-06T14:59:56.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621085.mov,View Now,video/quicktime,2.836667,,,2019-05-25T18:00:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621082.mov,View Now,video/quicktime,1.901678,,,2019-05-17T16:26:36.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621052.mov,View Now,video/quicktime,46.741667,,,2019-04-13T14:34:58.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621044.mov,View Now,video/quicktime,32.028333,,,2019-02-18T15:13:22.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621083.mov,View Now,video/quicktime,2.903333,,,2019-05-20T21:58:56.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621088.mov,View Now,video/quicktime,2.368345,,,2019-05-26T20:14:35.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621086.mov,View Now,video/quicktime,2.336667,,,2019-05-25T18:00:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621087.mov,View Now,video/quicktime,2.368345,,,2019-05-26T20:14:35.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621096.mov,View Now,video/quicktime,2.036667,,,2019-06-08T20:37:31.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621097.mov,View Now,video/quicktime,2.871667,,,2019-06-08T20:37:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621092.mov,View Now,video/quicktime,1.335,,,2019-06-08T20:34:45.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621090.mov,View Now,video/quicktime,2.836667,,,2019-05-27T14:53:27.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621095.mov,View Now,video/quicktime,1.968345,,,2019-06-08T20:36:54.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621089.mov,View Now,video/quicktime,2.268345,,,2019-05-27T14:53:26.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621093.mov,View Now,video/quicktime,2.235011,,,2019-06-08T20:35:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621091.mov,View Now,video/quicktime,0.983333,,,2019-06-04T16:36:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621094.mov,View Now,video/quicktime,1.535,,,2019-06-08T20:35:44.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621098.mov,View Now,video/quicktime,1.201667,,,2019-06-08T20:38:17.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621100.mov,View Now,video/quicktime,2.1,,,2019-06-08T20:39:07.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621101.mov,View Now,video/quicktime,2.135011,,,2019-06-08T20:40:08.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621099.mov,View Now,video/quicktime,2.303333,,,2019-06-08T20:38:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621104.mov,View Now,video/quicktime,1.083333,,,2019-06-12T16:52:10.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621105.mov,View Now,video/quicktime,1.116667,,,2019-06-12T16:52:13.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621102.mov,View Now,video/quicktime,1.968345,,,2019-06-08T20:41:11.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621919.mov,View Now,video/quicktime,42.623333,,,2016-06-28T00:41:33.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621103.mov,View Now,video/quicktime,0.866667,,,2019-06-12T16:52:08.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621920.mov,View Now,video/quicktime,31.918333,,,2016-06-29T20:12:20.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621228.mov,View Now,video/quicktime,15.680021,,,2019-06-21T17:31:07.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621167.mov,View Now,video/quicktime,15.43,+58.2474+011.4610+007.573/,Google Map,2019-06-23T22:42:02.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621168.mov,View Now,video/quicktime,16.096667,+58.2495+011.4593+004.771/,Google Map,2019-06-26T10:37:06.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621169.mov,View Now,video/quicktime,26.195,+58.2479+011.4579+027.923/,Google Map,2019-06-27T23:14:17.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01622053.mov,View Now,video/quicktime,7.003333,+58.2475+011.4614+000.427/,Google Map,2016-07-03T13:45:03.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621106.mov,View Now,video/quicktime,2.818333,,,2019-06-21T18:17:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01622052.mov,View Now,video/quicktime,5.77,+58.2475+011.4613+001.895/,Google Map,2016-07-03T13:43:59.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01622055.mov,View Now,video/quicktime,9.871678,+58.2475+011.4614+003.802/,Google Map,2016-07-09T12:32:46.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648443.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01624248.mov,View Now,video/quicktime,30.883333,,,2016-01-03T05:31:01.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01622054.mov,View Now,video/quicktime,9.979388,,,2016-07-05T00:30:32.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648441.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648450.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01624279.mov,View Now,video/quicktime,16.181678,,,2016-01-10T05:29:59.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648445.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648442.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648444.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648451.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648454.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648449.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648447.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648446.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648448.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648456.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648452.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648453.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648458.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648455.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648467.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648462.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648457.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648460.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648471.mp4,View Now,video/mp4,3.92,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648465.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648461.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648470.mp4,View Now,video/mp4,4,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648468.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648459.mp4,View Now,video/mp4,5,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648463.mp4,View Now,video/mp4,5,,,,
